date,risk_free_rate
2016-01-12,7.2274
2016-01-13,7.2274
2016-01-14,7.2274
2016-01-15,7.2274
2016-01-18,7.2274
2016-01-19,7.2274
2016-01-20,7.3105
2016-01-21,7.3105
2016-01-22,7.3105
2016-01-25,7.3105
2016-01-26,7.3105
2016-01-27,7.3105
2016-01-28,7.3105
2016-01-29,7.3105
2016-02-01,7.3105
2016-02-02,7.3105
2016-02-03,7.3521
2016-02-04,7.3521
2016-02-05,7.3521
2016-02-08,7.3521
2016-02-09,7.3521
2016-02-10,7.3521
2016-02-11,7.3521
2016-02-12,7.3521
2016-02-15,7.3521
2016-02-16,7.3521
2016-02-17,7.3521
2016-02-18,7.3521
2016-02-19,7.3521
2016-02-22,7.3521
2016-02-23,7.3521
2016-02-24,7.3521
2016-02-25,7.3521
2016-02-26,7.3521
2016-02-29,7.3521
2016-03-01,7.3521
2016-03-02,7.2689
2016-03-03,7.2689
2016-03-04,7.2689
2016-03-07,7.2689
2016-03-08,7.2689
2016-03-09,7.2689
2016-03-10,7.2689
2016-03-11,7.2689
2016-03-14,7.2689
2016-03-15,7.2689
2016-03-16,7.2689
2016-03-17,7.2689
2016-03-18,7.2689
2016-03-21,7.2689
2016-03-22,7.2689
2016-03-23,7.2274
2016-03-24,7.2274
2016-03-25,7.2274
2016-03-28,7.2274
2016-03-29,7.2274
2016-03-30,7.2689
2016-03-31,7.2689
2016-04-01,7.2689
2016-04-04,7.2689
2016-04-05,7.2689
2016-04-06,6.8536
2016-04-07,6.8536
2016-04-08,6.8536
2016-04-11,6.8536
2016-04-12,6.8121
2016-04-13,6.8121
2016-04-14,6.8121
2016-04-15,6.8121
2016-04-18,6.8121
2016-04-19,6.8121
2016-04-20,6.8121
2016-04-21,6.8121
2016-04-22,6.8121
2016-04-25,6.8121
2016-04-26,6.8121
2016-04-27,6.8121
2016-04-28,6.8121
2016-04-29,6.8121
2016-05-02,6.8121
2016-05-03,6.8121
2016-05-04,6.8536
2016-05-05,6.8536
2016-05-06,6.8536
2016-05-09,6.8536
2016-05-10,6.8536
2016-05-11,6.8536
2016-05-12,6.8536
2016-05-13,6.8536
2016-05-16,6.8536
2016-05-17,6.8536
2016-05-18,6.8536
2016-05-19,6.8536
2016-05-20,6.8536
2016-05-23,6.8536
2016-05-24,6.8536
2016-05-25,6.8536
2016-05-26,6.8536
2016-05-27,6.8536
2016-05-30,6.8536
2016-05-31,6.8536
2016-06-01,6.8536
2016-06-02,6.8536
2016-06-03,6.8536
2016-06-06,6.8536
2016-06-07,6.8536
2016-06-08,6.8121
2016-06-09,6.8121
2016-06-10,6.8121
2016-06-13,6.8121
2016-06-14,6.8121
2016-06-15,6.7706
2016-06-16,6.7706
2016-06-17,6.7706
2016-06-20,6.7706
2016-06-21,6.7706
2016-06-22,6.7706
2016-06-23,6.7706
2016-06-24,6.7706
2016-06-27,6.7706
2016-06-28,6.7706
2016-06-29,6.7292
2016-06-30,6.7292
2016-07-01,6.7292
2016-07-04,6.7292
