ticker,weight
RELIANCE.NS,0.011149888501114988
TCS.NS,0.010839891601083989
HDFCBANK.NS,0.05556944430555694
INFY.NS,0.055259447405525935
ICICIBANK.NS,0.010319896801031988
HINDUNILVR.NS,0.06894931050689493
ITC.NS,0.016989830101698983
BHARTIARTL.NS,0.04072959270407296
LT.NS,0.012109878901210987
MARUTI.NS,0.009439905600943991
NESTLEIND.NS,0.11486885131148687
POWERGRID.NS,0.020999790002099977
HDFCLIFE.NS,0.05716942830571694
SBILIFE.NS,0.07734922650773492
DRREDDY.NS,0.04800951990480094
DIVISLAB.NS,0.034929650703492965
CIPLA.NS,0.1019689803101969
BAJAJ-AUTO.NS,0.056049439505604946
BRITANNIA.NS,0.14999850001499984
BPCL.NS,0.03021969780302197
IOC.NS,0.017079829201707985
