date,vix_level,vix_5d_chg,vix_20d_chg,vix_zscore,vix_above_25,usdinr_5d_chg,usdinr_20d_vol,crude_5d_chg,crude_20d_vol,repo_rate,rfr,rate_spread,market_ret_5d,market_ret_20d,market_vol_20d,market_vol_60d,bank_mom_10d,it_mom_10d,fmcg_mom_10d,bank_vs_nifty,fii_net,dii_net,combined_flow,fii_dii_ratio
2015-01-05,14.149999618530272,,,,0,,,,,7.5,,,,,,,,,,,,,,
2015-01-06,17.420000076293945,,,,0,,,,,7.5,,,,,,,,,,,,,,
2015-01-07,18.13999938964844,,,,0,,,,,7.25,8.3946,-1.1446000000000005,,,,,,,,,,,,
2015-01-08,16.469999313354492,,,,0,,,,,7.25,8.3946,-1.1446000000000005,,,,,,,,,,,,
2015-01-09,15.960000038146973,,,,0,,,,,7.25,8.3946,-1.1446000000000005,-0.01330361666508948,,,,,,,,,,,
2015-01-12,16.110000610351562,0.13851597488769918,,,0,-0.014806127694040327,,-0.08266073157097065,,6.75,8.3946,-1.6446000000000005,-0.0066342453357031254,,,,,,,,,,,
2015-01-13,16.479999542236328,-0.053960994830121733,,,0,-0.020254913738105174,,-0.043494404432229405,,6.75,8.3946,-1.6446000000000005,0.020948340917961373,,,,,,,,,,,
2015-01-14,17.25,-0.049062812546527335,,,0,-0.025411412124846322,,-0.003500507677691722,,6.75,8.3946,-1.6446000000000005,0.021423707907748932,,,,,,,,,,,
2015-01-15,16.15999984741211,-0.01882206914793394,,,0,-0.0189059253570516,,-0.053463928633962876,,6.75,8.3946,-1.6446000000000005,0.03103299539752664,,,,,,,,,,,
2015-01-16,17.270000457763672,0.08208022659684122,,,0,-0.009781528857579325,,0.006800603622231449,,6.75,8.3946,-1.6446000000000005,0.027302054440972674,,,,,,,,,,,
2015-01-19,17.649999618530273,0.09559273431617243,,,0,-0.007809341860470553,,0.055311669666173735,,6.75,8.3946,-1.6446000000000005,0.026990407020161134,,,,0.02023057441253684,0.034444454603868024,0.026572455822966745,,,,,
2015-01-20,17.270000457763672,0.04793695008926813,,,0,-0.006951999620971705,,0.01083669050026348,,6.75,8.3946,-1.6446000000000005,0.04663383557914826,,,,0.06999598178610711,0.06491820700419737,0.05997723424553136,,,,,
2015-01-21,17.709999084472656,0.026666613592617683,,,0,-0.0052580308517651275,,-0.014544215969487961,,6.75,8.1857,-1.4357000000000006,0.05316108714596269,,,,0.08073064180491407,0.07903028864842732,0.04111652985535841,,,,,
2015-01-22,18.56999969482422,0.14913365533218426,,,0,-0.008654138593957583,,0.0012964861885342849,,6.75,8.1857,-1.4357000000000006,0.03097801686818077,,,,0.06300780807138295,0.07285561350794367,0.020856231951585258,,,,,
2015-01-23,17.889999389648438,0.03590034252755614,,,0,-0.007440014442440024,,-0.06578524441751377,,6.75,8.1857,-1.4357000000000006,0.0371006175019923,,,,0.07419843124820957,0.04170706710877781,0.022303598372852562,,,,,
2015-01-27,18.09000015258789,0.02492920926727238,,,0,-0.006324198841068274,,-0.05184471389156409,,6.75,8.1857,-1.4357000000000006,0.041217182846897585,,,,0.08948034873692912,0.012893336613231554,0.022543629458221304,,,,,
2015-01-28,19.770000457763672,0.1447596950627834,,,0,-0.0038198794776151956,,-0.042718926482782305,,6.75,8.2275,-1.4774999999999991,0.024839601294124544,,,,0.09111389218543131,0.026318042628021843,0.020411034748867962,,,,,
2015-01-29,19.43000030517578,0.09712034498133582,,,0,-0.004829269281795057,,-0.0704440244286908,,6.75,8.2275,-1.4774999999999991,0.025207929577253207,,,,0.0984531599498677,0.01790700253038402,0.040116559176508915,,,,,
2015-01-30,20.170000076293945,0.08616049584080909,,,0,0.003940045550211657,,0.04083063706604895,,6.75,8.2275,-1.4774999999999991,0.005406864266008036,,,,0.031123708599983146,0.013186233233048128,0.018874671318121372,,,,,
2015-02-02,20.40999984741211,0.14086084649180042,,,0,0.006714652815174915,,0.08369740830371164,,7.75,8.2275,-0.47749999999999915,-0.004332703284444481,0.046766351993431,0.011678892965071094,,0.032889392994462696,0.024095048864126056,-0.006189974954429189,-0.013876958998968306,,,,
2015-02-03,19.809999465942383,0.09508011602246635,0.40000000000000013,,0,0.0041396000328024485,0.0037536966848615715,0.13760592258021642,0.03984167239597962,7.75,8.2275,-0.47749999999999915,-0.01742838717750193,0.044144957353853646,0.011745054486373183,,-0.0011911538207112216,0.02721014627934437,0.015528845531582292,-0.04533611117456487,,,,
2015-02-04,20.049999237060547,0.014162810966801054,0.15097584094420546,,0,0.0034303997821512056,0.0037198440249363485,0.08616737495981353,0.04394707243293822,7.5,8.2692,-0.7691999999999997,-0.021613224731498966,0.0708085530597352,0.009050586470064122,,-0.030461208099190173,0.020640609099825014,-0.0047383649937096095,-0.10126976115892537,,,,
2015-02-05,20.6200008392334,0.06124552317894838,0.1367145277303683,,0,0.00826227782772726,0.0037461102833404583,0.1254141172441785,0.04477756230924329,7.5,8.2692,-0.7691999999999997,-0.027249051824339142,0.07254367280662567,0.008991589841379967,,-0.040697014133884934,0.029315447231340386,0.020114178436783092,-0.11324068694051061,,,,
2015-02-06,20.690000534057617,0.02578088526508404,0.25622352135020376,,0,-0.0010199990156287697,0.0036703283450734256,0.06907572542710261,0.0450437671413118,7.25,8.2692,-1.0191999999999997,-0.0169266785942443,0.05049119793747114,0.008713727774523816,,-0.05845713657283014,0.034590624515592694,0.029336824545056928,-0.10894833451030128,,,,
2015-02-09,22.020000457763672,0.07888293103322597,0.3796992735045315,,0,-0.0008065954550842136,0.0032560260255779993,0.06426111484668962,0.04515666689365036,7.25,8.2692,-1.0191999999999997,-0.03129494509602274,0.02877502356249774,0.009563948613079111,,-0.08680087819919358,0.030179022006153744,0.012022406687268727,-0.11557590176169132,,,,
2015-02-10,21.190000534057617,0.06966184277227017,0.31533207518576223,,0,0.006491334161755624,0.003147725237535611,-0.05881191607738989,0.045593862779352574,6.75,8.2692,-1.5191999999999997,-0.022053647713425082,0.028725554976131693,0.009563084451068835,,-0.0917893787841404,0.03935731927644248,0.003990027497943416,-0.12051493376027209,,,,
2015-02-11,20.5,0.022443929180190114,0.2439320733875554,,0,0.01174624909126809,0.003071453926238705,0.008017298283024665,0.04599546775818393,6.75,8.2692,-1.5191999999999997,-0.011100251884498667,0.03875996025727517,0.009590138076831376,,-0.07870402346295258,0.03607853855128518,0.010610354094323426,-0.11746398372022775,,,,
2015-02-12,20.15999984741211,-0.022308485601322148,0.16869564332823828,,0,0.00840299461110039,0.00304453331110059,0.014357598431818275,0.045578727209736304,6.75,8.2692,-1.5191999999999997,-1.7263211513962595e-05,0.051102701687362785,0.00967702782792433,,-0.0706344726013004,0.045291771598998665,-0.003241054951153899,-0.12173717428866318,,,,
2015-02-13,20.100000381469727,-0.02851619803569827,0.24381191653838874,,0,0.00705387718402406,0.0031316930693639634,0.020867995306919962,0.044392594509812894,6.75,8.2692,-1.5191999999999997,0.016540586466004526,0.03599878900594902,0.008248984462257254,,-0.02417912873645811,0.05272592889950367,0.02107025356620973,-0.06017791774240713,,,,
2015-02-16,20.829999923706055,-0.054041803329665905,0.20613777484539653,,0,0.0017092204825805979,0.0031525917987662135,-0.0015146127756708871,0.04313197545166811,6.75,8.2692,-1.5191999999999997,0.03265229049873335,0.03412525962025842,0.008253516696664458,,-0.03461805146655017,0.04447924492481192,0.05456768433208126,-0.06874331108680859,,,,
2015-02-18,20.90999984741211,-0.01321381215613826,0.1847025665348596,,0,-0.0002897821419240998,0.00306600710339023,0.04150946219825613,0.043278034794077845,6.75,8.3528,-1.6028000000000002,0.03482495977561849,0.03656010773158905,0.008311925038926474,,-0.004470092954852234,0.05439883323721517,0.05286722409092093,-0.04103020068644128,,,,
2015-02-19,20.399999618530273,-0.004878067388767171,0.18123908962373658,,0,-0.004308097919992981,0.002938208594679599,0.04640832136133577,0.0419025204340168,6.75,8.3528,-1.6028000000000002,0.03057979504818975,0.022705919726316658,0.007539568797637799,,0.0007455730041066033,0.06367223094965446,0.046443052731520496,-0.021960346722210054,,,,
2015-02-20,21.270000457763672,0.05505955450163613,0.20101646286431873,,0,-0.0034846166024067315,0.0029481920491713064,-0.01713481485824131,0.04173401072714764,6.75,8.3528,-1.6028000000000002,0.01391287934318654,0.011854493884586639,0.007719136284013853,,0.0011356556270438745,0.03289281864517868,0.04884897140864375,-0.010718838257542765,,,,
2015-02-23,21.6299991607666,0.07611934080893779,0.16478188024931728,,0,-0.001110418948648828,0.0029324574134254136,-0.06517023444981618,0.04126647429743352,6.75,8.3528,-1.6028000000000002,-0.005757249244960837,-0.000736477107192577,0.007966353461689975,,0.006721529861868802,0.021239312417549172,0.028562356558865076,0.007458006969061379,,,,
2015-02-24,21.549999237060547,0.03456549764722183,0.20458356468865335,,0,0.0016420027644112878,0.0029358338196089984,-0.06861401349253748,0.04106103368713989,6.75,8.3528,-1.6028000000000002,-0.0053780554236505405,-0.008353413305384423,0.007718324995124852,,0.025744682236851446,0.025541908804406432,0.05723686925752247,0.03409809554223587,,,,
2015-02-25,20.780000686645508,-0.006217080904603156,0.14870096801368993,,0,0.0019462340145945944,0.0028779392576527532,-0.02230282881471002,0.04156546531088822,6.75,8.3946,-1.6446000000000005,-0.011550093289827807,-0.01620716840513634,0.007438597604052354,,-0.0010375994443752035,0.03795391980021812,0.056542686431219735,0.015169568960761135,,,,
2015-02-26,20.579999923706055,0.008823544536357586,0.04097114047482453,,0,-0.003178717016064425,0.0031918848061037327,-0.060221591098296834,0.04272215942963672,6.75,8.3946,-1.6446000000000005,-0.02405809166714034,-0.026191773234948222,0.007682288489746011,,-0.0214902511164361,0.017416072685879413,0.03780193137079024,0.004701522118512123,,,,
2015-02-27,19.56999969482422,-0.07992481082993785,0.00720532102159277,,0,-0.006633378202687723,0.003225140912415165,-0.011588578038638442,0.04318641437455114,6.75,8.3946,-1.6446000000000005,0.0012444708065039861,-0.012108964886162584,0.008785737402514555,,-0.0028295830924278675,0.014679170858306279,0.038803016229033815,0.009279381793734717,,,,
2015-03-02,15.850000381469728,-0.26722140561987984,-0.21417945852670406,,0,-0.00727265396107768,0.0028102377542915794,0.002827130080807816,0.03948510030422049,7.75,8.3946,-0.6446000000000005,0.02278816096453411,0.016644819591333498,0.008453931928974227,,0.03242720246764108,0.01581892711844901,-0.045804601887331486,0.015782382876307583,,,,
2015-03-03,15.489999771118164,-0.28120648169308127,-0.24105831029282332,,0,-0.004352325725858641,0.0028493154022651715,0.024851012088826785,0.039234780712873195,7.75,8.3946,-0.6446000000000005,0.026372266175081052,0.02235155615414111,0.008474233632830671,,0.039403645467182,0.02909874501756171,-0.06318421651610606,0.01705208931304089,,,,
2015-03-04,15.199999809265137,-0.2685274635706061,-0.23271074108824785,,0,-0.006771739254282316,0.0026668244416034785,0.010534570666326903,0.036282588387407985,7.5,8.2275,-0.7274999999999991,0.017569843225793795,0.018791061998159386,0.008637692193409433,,0.017843152118741656,0.007715865320191639,-0.06767268648641789,-0.0009479098794177299,,,,
2015-03-05,14.4399995803833,-0.2983479283811902,-0.2798004922767122,,0,0.006893158449240211,0.0031492575011310584,0.052372227149681816,0.029864265019503417,7.5,8.2275,-0.7274999999999991,0.028818945918970176,0.02424039741552092,0.008567358190341582,,0.028751394656229223,-0.00459247853245337,-0.0457572757129423,0.004510997240708303,,,,
2015-03-09,15.8100004196167,-0.19213077842826676,-0.23326868204897333,,0,0.011255482748120826,0.003076720785286415,0.0048115907284684845,0.028647045174392455,7.25,8.2275,-0.9774999999999991,-0.009982227590913911,0.00515785934726265,0.009839021234984735,,0.0037677978370993515,-0.011978937852802574,-0.059136798612964725,-0.0013900615101632985,,,,
2015-03-10,15.529999732971191,-0.020189314876777553,-0.24939587568364707,,0,0.016441272322153644,0.0030876018993985384,-0.026564684733638266,0.029032975814426074,7.25,8.2275,-0.9774999999999991,-0.027700335566763108,0.005871162618814691,0.009817056314836207,,0.00742746667325811,-0.010125866913991644,-0.052955193945367185,0.0015563040544434182,,,,
2015-03-11,15.130000114440918,-0.023240778695715836,-0.31289737511760685,,0,0.0130324321971802,0.0030078075133559445,-0.04763292391354623,0.02839609124136993,6.75,8.311,-1.561,-0.033490522872448976,0.02015597837771488,0.009086617045060306,,0.008447633196052351,-0.01716438861082814,-0.06760712954305781,-0.01170834518166253,,,,
2015-03-12,14.75,-0.029605250981045383,-0.30391695949733133,,0,0.015124579247200565,0.0029675743761454977,-0.09095328883507392,0.026226198680388096,6.75,8.311,-1.561,-0.016572308478745537,0.024272401232838935,0.009217632618451444,,0.021587572949954392,-0.016738166150245704,-0.054724192841726804,-0.0026848282828845424,,,,
2015-03-13,14.970000267028809,0.036703649726244514,-0.2697560845351801,,0,0.003684713267904982,0.0030138714861627862,-0.1240080081725643,0.0277539829078447,6.75,8.311,-1.561,-0.03298470815596883,0.0023559411440507595,0.00975615214424639,,0.012953754158045783,-0.01181650945465762,-0.06525259181959697,0.010597813013995023,,,,
2015-03-16,15.18000030517578,-0.03984820352434837,-0.24702378868696273,,0,0.009926092252387164,0.0035595044956539075,-0.1305643456793839,0.025162986068786104,6.75,8.311,-1.561,-0.01421534200510025,-0.009040219446323636,0.00949597735032454,,-0.012513386036614449,-0.010883457361130056,-0.0766077839710757,-0.0034731665902908125,,,,
2015-03-17,15.130000114440918,-0.025756576008243437,-0.24726369018433814,,0,0.0018491839846479508,0.0036357321589056864,-0.10538356508208668,0.023526737564594648,6.75,8.311,-1.561,0.001290481901803718,-0.009378941945386115,0.009475269989008625,,-0.04863705741052371,-0.02240293943768812,0.00338186780207117,-0.03925811546513759,,,,
2015-03-18,15.510000228881836,0.025115671617095714,-0.25540085042293603,,0,-0.0015479280868166967,0.0036791012484167344,-0.0756581396344278,0.024868722310417413,6.75,8.311,-1.561,-0.0016162347279447303,-0.014112546848963198,0.009510501500995071,,-0.04163123294164883,-0.04614862944040432,-0.004333847722389095,-0.027518686092685634,,,,
2015-03-19,15.199999809265137,0.03050846164509391,-0.27307508750908294,,0,-0.0009884618134412548,0.0036830023120023167,-0.06793074110683728,0.02491099916855407,6.75,8.311,-1.561,-0.016237499672213294,-0.02679005821499285,0.009408685021884456,,-0.0433170733702859,-0.03642753079390637,-0.015191899223223615,-0.01652701515529305,,,,
