date,RELIANCE.NS,TCS.NS,HDFCBANK.NS,INFY.NS,ICICIBANK.NS,HINDUNILVR.NS,ITC.NS,SBIN.NS,BHARTIARTL.NS,KOTAKBANK.NS,LT.NS,AXISBANK.NS,ASIANPAINT.NS,MARUTI.NS,BAJFINANCE.NS,HCLTECH.NS,SUNPHARMA.NS,TITAN.NS,ULTRACEMCO.NS,NESTLEIND.NS,WIPRO.NS,POWERGRID.NS,NTPC.NS,ONGC.NS,TECHM.NS,JSWSTEEL.NS,TATASTEEL.NS,M&M.NS,ADANIENT.NS,ADANIPORTS.NS,COALINDIA.NS,BAJAJFINSV.NS,HDFCLIFE.NS,SBILIFE.NS,DRREDDY.NS,DIVISLAB.NS,CIPLA.NS,EICHERMOT.NS,HEROMOTOCO.NS,APOLLOHOSP.NS,BAJAJ-AUTO.NS,BRITANNIA.NS,GRASIM.NS,INDUSINDBK.NS,TATACONSUM.NS,UPL.NS,BPCL.NS,IOC.NS,HINDALCO.NS
2015-01-05,1.0000182556353043,1.0000269951348153,1.000013102867789,1.0000134106044338,0.9999916645774363,0.9999842050121837,0.999987880836445,1.000012051220275,1.0000414746435622,1.000004036838565,0.9999677839312964,0.9999830641673876,0.999995999365956,0.9999431929504277,1.0000011864301548,1.000030346254906,0.9999946386801266,0.9999794749242914,0.9999917206591192,0.9999947770550441,0.9999922243226664,0.9999936715724803,1.0000015063409313,0.9999730077258207,1.0000300648504197,1.0000007211860638,0.9999666378950992,1.0000061846892858,0.9999625169672464,0.9999677440114858,1.0000038701764207,1.000023056182564,0.9999958678522265,0.9999958678194059,1.0000424574923845,1.0000081376943444,0.9999866958129726,0.9999866439994766,0.9999819417328341,0.9999891217075194,0.9999884616845122,0.9999944619704225,0.9999882363754382,0.9999879138255925,0.999989878562276,1.0000340163384376,0.9999919302518786,0.9999741170952424,1.0000375493468145
2015-01-06,1.1748816933190087,0.8484891635301584,0.41175771668044003,0.6300049649001901,1.41404960245226,-0.02657264438895557,1.037768648495258,1.1263100500535357,0.08918242140649923,0.49745170219699897,1.491254258375747,1.321041805375193,0.8971269607144365,1.314036207668916,0.41987976287683604,0.5851650930915642,0.8822425538571832,1.308224780542961,1.0516331631710816,0.66692190560641,0.9313472816030831,0.8898039333335405,1.0639859982887814,1.8106191941541296,0.26149663776356236,1.1335597597099423,1.71162821819429,0.37398813637737804,0.9458926205438937,0.8396020483323312,0.31609865072006604,0.5970471511007899,0.3114269135756508,0.2991073105937314,0.45214498302362316,1.1086958530021862,1.1351330316560446,1.0546509263271129,1.289746005716119,1.1025561704905953,0.5992556917520808,0.3064848113284495,1.3347470249625646,1.0194772445840168,1.139223954042528,1.0491164968948357,0.6782557049605997,0.861464503789818,0.4988155465098447
2015-01-07,1.639799227293274,0.8899026580884323,0.5394865522151103,0.7630134320285354,1.0946342113216692,0.24801859012369287,0.7634766494216134,1.264767266749376,0.2531970963568182,0.7148708434545415,1.342224957912827,1.2926831843900901,1.1543680323205865,1.190555648506532,0.596470211915437,0.4544746652594576,0.8880811433341524,1.3320749061908947,0.9935679727433988,0.6865719486022452,0.817386276952739,1.053926778240057,1.41960202418743,1.9934209604958144,0.306506299785907,1.0150604006701895,1.4672622987652753,0.4875102519594854,0.7554799707322805,0.6527436746410682,0.10990501807305594,0.70134511283637,0.24100086391637593,0.23061416606956098,0.5604267178935465,1.0430165436056422,1.0644399977737737,1.1838718090923706,1.0912673490213218,1.180901101186701,0.5455307940454426,0.983651686130956,1.5019952113655979,0.9148138098629318,1.1614962979668308,1.0764371072522614,0.7140583508516597,0.7497631797542232,0.32484394441341624
2015-01-08,0.8502337495354724,0.9782795003552638,0.6859227727237522,0.6134639649864755,1.444872020205374,0.051429229982950575,1.0659224778644354,1.1842588342861222,0.44248787452210514,1.1086120852626318,1.0534801030925602,1.0508410962251056,1.49912721529468,0.8150620970126168,0.2419489345291021,0.916583684007896,0.7914774084814605,0.8809954303952159,1.1093632289042865,0.513815471279208,0.7645586415944194,0.7020606871665064,1.0756512706875627,1.5434028393150143,0.5217361837974717,1.0464589789801717,1.451973411616735,0.4117816914870523,0.9695367276107396,0.9495429449252708,0.3522428620781122,1.2090480723555181,0.15423009076793462,0.14701835086278353,0.6859077788179263,0.9762964666029884,0.9523037852781495,0.6817212796457355,0.9648241843742997,1.0515164965279482,0.36947927719048657,-0.03950257110627342,1.025178783278202,0.8563761077703387,1.303923837981064,1.4208755893952254,1.0572240005852072,0.8187929613847701,0.8327165686921479
2015-01-09,0.8569341428454557,0.9855864529751026,0.6859244001127931,0.6330922740547333,1.437452761379953,0.06495432691146272,1.0595979613134996,1.1789116044023373,0.42759995912880516,1.1009806717868666,1.0517636776198918,1.0452871499943488,1.4820969240936608,0.812725677133113,0.23220728444447697,0.9182088277948203,0.795985228239235,0.8835565267272096,1.1057541115151035,0.5181835388593525,0.7718732444400833,0.7004124153599212,1.0557352947949725,1.5560769729429673,0.5411157106696554,1.0409334525491554,1.4588766033218794,0.40729745280317753,0.9429516008456502,0.9242116621327741,0.34440637123529555,1.1931476928609703,0.1541999170425208,0.14700361166191578,0.6998326088537986,0.9960326867542221,0.9641336929230107,0.6777705579043142,0.9678563012518263,1.0449721194980595,0.3563911299504528,-0.04517056520945867,1.0217589184335565,0.8589150226057124,1.3001354642480831,1.4154111929835747,1.0401143996799775,0.8069105535884638,0.8424715009870094
2015-01-12,0.8686447896006338,0.9947592017304374,0.6989358408022881,0.6376651056448125,1.425511452742717,0.06787211194867286,1.0539492450170236,1.172338299723713,0.43266406613944813,1.1079400861288695,1.0359518118507163,1.033437406507364,1.4898390670068353,0.8145268645723854,0.2316303482544379,0.9115865186063874,0.7970678002744052,0.8794597277453833,1.1133498923297889,0.5163360157028424,0.7734439277348559,0.7079751216730816,1.048971483650726,1.5659051999467832,0.5410039505944956,1.0426297639545996,1.463309931909091,0.4102520690590189,0.9418732377457905,0.9277190568317706,0.36242789561693045,1.199456651031444,0.15410964612204736,0.14689238395490764,0.7013180810561608,0.999934498010991,0.9701133564930678,0.6716302976305212,0.9758717062473714,1.0479812430657427,0.3562703608983028,-0.04376939949281729,1.0154463066261212,0.8547316138363594,1.3008694687015714,1.4172433186644644,1.0469488471254103,0.8106238040804316,0.8518792083004558
2015-01-13,0.8606980020148379,1.0071748215793697,0.6839063305868712,0.7796405856890819,1.4714292663781026,0.31105960591190673,0.9822098707992757,1.1897742419419641,0.395744369474999,1.0567912072703334,1.0994540330118647,0.9906621333642762,1.292893539078966,0.7777325960732967,0.15525289007682525,0.9164800550679212,0.8141133732151132,0.922066847654702,0.8535417203084081,0.3707758153768325,0.7154180042729665,0.6712541549304205,1.0139110770806339,1.6154619443357068,0.6266731257228099,0.9997017590167555,1.4653340589530663,0.337842926722213,1.0501623540910159,0.9544541047558621,0.18759580920529637,1.0834931598396529,0.14852617285199765,0.14132757508825378,0.7216605972904336,0.9567552419163433,0.9177574740469084,0.6739596424814025,0.9602311975864494,0.8964946707853292,0.281820082478926,-0.07245181375700395,0.8537540058713531,0.9158824727249189,1.3671780910771807,1.2015174592986249,1.0700006107899527,0.7662604370216625,0.7744694308274911
2015-01-14,0.8622835485893137,0.9823908731139865,0.6730177228748401,0.7453138590988803,1.470735528737204,0.24200578644112952,1.0472578378129862,1.1839144493921736,0.3786589708598787,1.0810748141427522,1.0932398646745662,1.0121080482597355,1.301144633126567,0.7502728268703656,0.02534148671778158,0.9322776189517143,0.8388531468806836,0.911371117605441,0.833483816170162,0.3998147068960584,0.7680409716934977,0.6536299975997973,1.0105150962264557,1.5647103322337192,0.6270135790185906,1.0247091293686943,1.508418165504232,0.3651053627214047,1.0415493419670823,0.8897778267541943,0.16440508083320304,1.1358144427944874,0.1477184428502766,0.1405022557966676,0.7419160349503111,0.9841619608943499,0.9392230641353572,0.6637491815521513,0.9247769339524776,0.9016536508756778,0.22964462965431945,-0.08780339257977252,0.8750686301883508,0.9369227238696746,1.3601314912062268,1.1693385216814478,1.1036218871626082,0.785625420095913,0.8734186936841978
2015-01-15,1.100070844254685,0.6709047597939017,0.8400856249986515,0.3978460913104042,1.6686307399732685,-0.22911612264700176,1.2787742581264288,1.4016707345457617,0.43563409916988466,0.734996080061597,1.183721334296675,1.0636842610846053,0.6631537262082365,0.7716198763261752,-0.2522092519785423,0.7234637865803465,0.7442486405282288,0.7984825344029888,0.9221458621608908,0.11361570008779409,0.7715493908185863,1.0455303204659439,0.9061645810247428,1.1752659725915617,0.2663126187424964,0.9485757216197619,1.5604235302896006,0.6558527261861208,1.0706836212375703,0.5247820206830731,0.27392501739855835,1.2274032250030296,0.09919029075420774,0.0937288287360892,0.6131829892330312,0.6660939579674576,0.7841272500383509,0.6738297474871703,0.8643549964120592,0.4020050093977439,0.3604914031507449,-0.1692199489100802,0.7865981853574711,0.8811782105393362,1.0321893243683218,0.6301972030740308,1.1478049360927236,0.6438156554210136,0.9922913705975278
2015-01-16,1.0849343240815816,0.6744864328590457,0.8338267979376157,0.4431203441163875,1.6669261974841323,-0.2685673681383093,1.2131687492040284,1.527871515194448,0.5127826612487048,0.7388166878981401,1.1565460137049812,1.0672062290532627,0.6155933175543811,0.8471838279801804,-0.17905021458394219,0.5758654996918395,0.5750608105263515,0.6481355358517303,1.1188946172719296,0.02583625665332992,0.7877334709994978,0.9719186494223437,0.8232558040216335,1.1286319902657853,0.20838364307873547,0.8283779033635384,1.4997222368233074,0.605778959065965,1.05143976767585,0.5095007440717152,0.16573560507126878,1.2880140616281095,0.0929904033532104,0.08761992861342856,0.5425017588470916,0.5712354283525327,0.6977982217134412,0.6228880486242576,0.9387332516272272,0.23403844704470214,0.4116223086560609,-0.15632471040046397,0.8861144187283018,0.8658163708999403,1.0251783156799719,0.5969046851229896,1.123141960315938,0.5913622912935311,0.9719222857679012
