date,RELIANCE.NS,TCS.NS,HDFCBANK.NS,INFY.NS,ICICIBANK.NS,HINDUNILVR.NS,ITC.NS,SBIN.NS,BHARTIARTL.NS,KOTAKBANK.NS,LT.NS,AXISBANK.NS,ASIANPAINT.NS,MARUTI.NS,BAJFINANCE.NS,HCLTECH.NS,SUNPHARMA.NS,TITAN.NS,ULTRACEMCO.NS,NESTLEIND.NS,WIPRO.NS,POWERGRID.NS,NTPC.NS,ONGC.NS,TECHM.NS,JSWSTEEL.NS,TMPV.NS,TATASTEEL.NS,M&M.NS,ADANIENT.NS,ADANIPORTS.NS,COALINDIA.NS,BAJAJFINSV.NS,HDFCLIFE.NS,SBILIFE.NS,DRREDDY.NS,DIVISLAB.NS,CIPLA.NS,EICHERMOT.NS,HEROMOTOCO.NS,APOLLOHOSP.NS,BAJAJ-AUTO.NS,BRITANNIA.NS,GRASIM.NS,INDUSINDBK.NS,TATACONSUM.NS,UPL.NS,BPCL.NS,IOC.NS,HINDALCO.NS
2015-01-01,189.9998016357422,988.8798828125,217.23533630371094,367.7708435058594,294.0238952636719,633.171875,161.22386169433594,279.8805236816406,308.0735778808594,124.95896911621094,848.3333740234375,486.9628601074219,684.9317016601562,3032.03466796875,33.75812530517578,296.3742370605469,752.939453125,362.7237548828125,2548.028564453125,276.7253112792969,91.15483856201172,47.7459602355957,79.63380432128906,129.91122436523438,462.6291198730469,94.50640869140625,,28.898025512695312,559.4362182617188,70.76136016845703,301.77288818359375,152.53903198242188,127.90369415283203,,,597.1714477539062,799.1676025390625,586.8889770507812,1410.342041015625,2197.227294921875,1082.74169921875,1845.359375,795.6229248046875,492.45306396484375,764.6310424804688,132.65362548828125,204.51812744140625,56.39250946044922,28.8415470123291,146.67153930664062
2015-01-02,189.4969482421875,1002.0486450195312,220.25868225097656,374.9980773925781,302.3697204589844,631.0849609375,161.7288055419922,280.9947814941406,309.8987121582031,126.24468994140625,866.2262573242188,497.85308837890625,708.6114501953125,3049.142822265625,33.21842956542969,296.0883483886719,756.6483764648438,365.5888366699219,2624.2060546875,277.31884765625,91.96339416503906,48.32058334350586,80.72392272949219,131.85581970214844,464.8936767578125,94.7945556640625,,29.348154067993164,553.8284301757812,71.10794830322266,301.583984375,153.22132873535156,126.81512451171875,,,599.198974609375,802.5787353515625,588.5234375,1393.6717529296875,2192.0625,1084.616943359375,1845.05859375,816.0619506835938,505.9422302246094,768.3035888671875,134.238037109375,210.89431762695312,55.547752380371094,28.68295669555664,148.19886779785156
2015-01-05,187.4212646484375,986.8204956054688,218.3990478515625,371.7755126953125,302.9956359863281,634.7163696289062,162.3655548095703,278.7663879394531,303.0224304199219,125.73834228515625,878.2772827148438,500.9991455078125,708.5656127929688,3129.192626953125,33.131622314453125,291.1081848144531,757.106201171875,368.5494384765625,2629.565673828125,277.46771240234375,92.1283950805664,48.372825622558594,80.50030517578125,133.34730529785156,457.1373291015625,94.5684814453125,,29.77328872680664,551.0244750976562,72.28489685058594,305.7864074707031,152.61927795410156,125.13008117675781,,,585.6205444335938,797.748291015625,591.1852416992188,1400.010986328125,2207.133056640625,1088.2232666015625,1851.793701171875,816.6265869140625,507.84539794921875,771.3168334960938,134.6342010498047,206.9727783203125,55.655487060546875,28.991559982299805,145.19046020507812
2015-01-06,178.91525268554688,950.43994140625,214.99920654296875,364.0081787109375,290.14306640625,646.7378540039062,158.19387817382812,267.31268310546875,300.6455078125,124.23915100097656,848.9826049804688,483.09075927734375,691.6513671875,3081.4990234375,33.0457649230957,283.3335876464844,740.4393920898438,355.9430236816406,2555.780517578125,273.6090087890625,89.97493743896484,47.2932243347168,77.81695556640625,125.79544830322266,452.2338562011719,91.11946868896484,,28.329994201660156,547.9494018554688,71.73612976074219,303.9449768066406,152.4989013671875,122.2371826171875,,,570.2100219726562,766.5224609375,573.7672729492188,1363.5428466796875,2132.84033203125,1055.81494140625,1837.3448486328125,817.5171508789062,488.480224609375,751.8244018554688,130.4089813232422,196.94447326660156,55.09519577026367,28.67009925842285,141.99688720703125
2015-01-07,182.809814453125,939.21337890625,215.626708984375,365.74981689453125,282.29791259765625,669.4450073242188,155.2517547607422,267.5354919433594,301.36700439453125,126.23971557617188,846.9505004882812,482.7035827636719,705.5486450195312,3120.0712890625,33.71857833862305,276.60125732421875,741.583984375,357.757568359375,2545.683837890625,274.7543029785156,89.29011535644531,47.97233963012695,79.6897201538086,127.64563751220703,450.12091064453125,89.71414947509766,,27.78696632385254,553.602294921875,71.10071563720703,303.2366638183594,150.39170837402344,122.1327896118164,,,565.3087158203125,755.304931640625,571.5257568359375,1382.393798828125,2104.29052734375,1064.0853271484375,1841.6341552734375,866.974853515625,494.62408447265625,745.7506713867188,130.6730499267578,193.41212463378906,55.59514617919922,28.72153663635254,137.83143615722656
2015-01-08,180.1884765625,949.3524780273438,220.156005859375,367.5938415527344,289.9761657714844,682.0924682617188,159.1379852294922,271.72479248046875,306.5880126953125,133.10523986816406,852.3410034179688,485.8980407714844,750.0281982421875,3154.333251953125,33.66118621826172,283.0015563964844,749.8258056640625,356.1340026855469,2610.186279296875,275.9588623046875,89.9336929321289,48.181278228759766,81.0313720703125,129.0616455078125,457.6543884277344,90.62295532226562,,28.219247817993164,559.684814453125,73.9023208618164,315.9384460449219,152.29820251464844,128.22178649902344,,,570.3495483398438,756.8616943359375,577.3629150390625,1374.42822265625,2111.331298828125,1083.1744384765625,1844.042236328125,855.4412231445312,495.70233154296875,752.10693359375,135.29434204101562,199.24948120117188,58.409603118896484,29.445892333984375,141.2100830078125
2015-01-09,184.09375,975.9629516601562,222.6202850341797,386.40704345703125,285.3024597167969,721.788330078125,156.7228240966797,270.25408935546875,302.0462341308594,135.1206817626953,846.8094482421875,479.1219177246094,742.8511352539062,3147.707763671875,33.279197692871094,285.0766906738281,760.1280517578125,356.1340026855469,2612.004150390625,279.7213134765625,91.33631896972656,48.21609878540039,78.4039306640625,132.5354766845703,477.9280700683594,89.81167602539062,,28.5550594329834,559.9561157226562,73.16580963134766,312.72760009765625,150.5321807861328,127.16802978515625,,,588.4849853515625,779.38818359375,590.5781860351562,1361.9532470703125,2117.16845703125,1081.5396728515625,1787.9400634765625,845.058837890625,492.74981689453125,755.2144165039062,136.96685791015625,198.9800567626953,58.560455322265625,29.291589736938477,143.47796630859375
2015-01-12,181.95387268066406,974.9529418945312,220.65798950195312,394.1372375488281,289.2250061035156,748.5028076171875,157.1400146484375,273.7303161621094,296.2311096191406,136.11854553222656,865.9722900390625,485.5108337402344,738.50830078125,3142.897216796875,33.16489791870117,290.6101989746094,764.9359741210938,359.8586730957031,2584.203369140625,283.067626953125,91.75711822509766,47.53700637817383,78.26417541503906,131.28941345214844,491.0604248046875,88.7255630493164,,28.347858428955078,557.6046142578125,74.30665588378906,310.1778259277344,143.6287078857422,126.02477264404297,,,596.5669555664062,781.2425537109375,589.0838623046875,1372.9453125,2078.18212890625,1075.577392578125,1756.4456787109375,839.28125,497.2366027832031,781.06298828125,138.50729370117188,197.9323272705078,58.30617904663086,29.10300064086914,139.86788940429688
2015-01-13,180.42385864257812,970.3689575195312,219.81370544433594,389.0986328125,284.5096130371094,738.443115234375,158.12802124023438,271.9476318359375,293.9814147949219,138.29776000976562,857.6749877929688,488.36651611328125,762.370849609375,3147.7529296875,33.597042083740234,292.0949401855469,762.9213256835938,355.46551513671875,2697.32177734375,294.1007995605469,92.98648071289062,47.31064224243164,77.67719268798828,128.3630828857422,492.3265686035156,88.08273315429688,,27.97274398803711,564.7498779296875,71.7289047241211,305.0309753417969,144.97325134277344,127.88876342773438,,,599.5617065429688,789.3008422851562,594.3606567382812,1367.539306640625,2047.0848388671875,1106.01416015625,1748.9959716796875,839.8892211914062,513.2728881835938,777.3434448242188,136.6587677001953,206.40402221679688,57.7156867980957,29.158723831176758,140.4232940673828
2015-01-14,178.66917419433594,979.7117919921875,219.93923950195312,396.5028381347656,281.1712951660156,771.4186401367188,152.72679138183594,271.591064453125,293.5569763183594,138.12400817871094,856.8281860351562,483.6231994628906,770.41650390625,3191.08984375,36.403541564941406,291.2095642089844,751.52001953125,354.8924560546875,2783.787109375,297.0440979003906,91.0805435180664,47.38029098510742,77.00638580322266,129.91122436523438,497.75604248046875,85.8484115600586,,26.926000595092773,559.390869140625,70.9563217163086,312.8219909667969,145.77601623535156,124.6827163696289,,,596.7530517578125,780.78466796875,589.69091796875,1370.718017578125,2054.054443359375,1116.0633544921875,1778.6085205078125,845.3846435546875,516.2327270507812,769.0098266601562,136.30667114257812,214.45663452148438,56.177024841308594,28.777250289916992,131.58319091796875
