date,adj_close,volume
2015-01-01,2548.028564453125,54097
2015-01-02,2624.2060546875,228660
2015-01-05,2629.565673828125,181680
2015-01-06,2555.780517578125,292468
2015-01-07,2545.683837890625,120023
2015-01-08,2610.186279296875,249884
2015-01-09,2612.004150390625,334880
2015-01-12,2584.203369140625,148064
2015-01-13,2697.32177734375,517233
2015-01-14,2783.787109375,537834
2015-01-15,2950.49755859375,699207
2015-01-16,2938.1044921875,369250
2015-01-19,2955.713623046875,147140
2015-01-20,2963.321044921875,303336
2015-01-21,2923.46240234375,295819
2015-01-22,2988.20361328125,368715
2015-01-23,3012.55908203125,414381
2015-01-27,2987.24658203125,426957
2015-01-28,3004.759521484375,241081
2015-01-29,3026.7705078125,353459
2015-01-30,3005.333740234375,170802
2015-02-02,2954.32568359375,258417
2015-02-03,2973.9443359375,407784
2015-02-04,2963.752197265625,220090
2015-02-05,2932.3623046875,130329
2015-02-06,2879.009033203125,129840
2015-02-09,2835.36962890625,127620
2015-02-10,2838.67138671875,187835
2015-02-11,2878.674072265625,170700
2015-02-12,2904.60888671875,187078
2015-02-13,2978.681396484375,193738
2015-02-16,2946.4306640625,177606
2015-02-18,2976.288818359375,202114
2015-02-19,2930.639892578125,165743
2015-02-20,2884.511962890625,201227
2015-02-23,2850.059814453125,200058
2015-02-24,2860.108154296875,118101
2015-02-25,2912.026123046875,284765
2015-02-26,2849.4375,218727
2015-02-27,2991.409423828125,251642
2015-03-02,3224.9189453125,446753
2015-03-03,3216.35400390625,247539
2015-03-04,3167.977294921875,278837
2015-03-05,3052.418701171875,490549
2015-03-09,2934.32421875,318482
2015-03-10,2887.478515625,539122
2015-03-11,2858.6728515625,309685
2015-03-12,2879.966064453125,483570
2015-03-13,2820.200927734375,254015
2015-03-16,2788.141845703125,214421
2015-03-17,2802.49658203125,290837
2015-03-18,2809.482666015625,292204
2015-03-19,2768.618408203125,354477
2015-03-20,2732.299560546875,284773
2015-03-23,2707.36962890625,213023
2015-03-24,2681.052001953125,389917
2015-03-25,2647.078857421875,389212
2015-03-26,2675.597412109375,433234
2015-03-27,2681.38720703125,267173
2015-03-30,2817.473388671875,340546
2015-03-31,2754.16796875,465222
2015-04-01,2759.718017578125,371347
2015-04-06,2768.187744140625,137119
2015-04-07,2805.798095703125,283978
2015-04-08,2858.050537109375,270787
2015-04-09,2836.517822265625,192790
2015-04-10,2841.3984375,118815
2015-04-13,2872.405517578125,238104
2015-04-15,2858.0986328125,585767
2015-04-16,2770.580322265625,301285
2015-04-17,2688.37353515625,505583
2015-04-20,2658.7060546875,496778
2015-04-21,2632.9150390625,127347
2015-04-22,2672.7265625,361828
2015-04-23,2610.99951171875,220291
2015-04-24,2590.567626953125,361319
2015-04-27,2541.138427734375,585545
2015-04-28,2573.293212890625,461994
2015-04-29,2564.05810546875,292385
2015-04-30,2557.2158203125,465521
2015-05-04,2592.577392578125,304191
2015-05-05,2592.720703125,150916
2015-05-06,2493.67041015625,481825
2015-05-07,2506.542236328125,342436
2015-05-08,2582.002197265625,391296
2015-05-11,2702.3935546875,500284
2015-05-12,2630.666259765625,321050
2015-05-13,2674.257568359375,211737
2015-05-14,2675.836181640625,169391
2015-05-15,2684.784423828125,165461
2015-05-18,2775.4130859375,269975
2015-05-19,2843.6474609375,639626
2015-05-20,2901.881591796875,631734
2015-05-21,2932.84130859375,706556
2015-05-22,2847.4755859375,303833
2015-05-25,2808.812744140625,160917
