date,adj_close,volume
2015-01-01,56.39250946044922,2893002
2015-01-02,55.547752380371094,6142290
2015-01-05,55.655487060546875,6566232
2015-01-06,55.09519577026367,13121010
2015-01-07,55.59514617919922,7856364
2015-01-08,58.409603118896484,16840194
2015-01-09,58.560455322265625,10079154
2015-01-12,58.30617904663086,3867444
2015-01-13,57.7156867980957,5972538
2015-01-14,56.177024841308594,7112274
2015-01-15,57.14677429199219,11808276
2015-01-16,56.83213806152344,7147248
2015-01-19,55.61669158935547,6617304
2015-01-20,55.82789993286133,4653270
2015-01-21,56.38819122314453,5534538
2015-01-22,56.638187408447266,4936338
2015-01-23,58.16394805908203,8706078
2015-01-27,59.65520477294922,11605284
2015-01-28,60.87925720214844,11438976
2015-01-29,63.258399963378906,19402494
2015-01-30,64.55142211914062,14754744
2015-02-02,64.5341796875,10153596
2015-02-03,62.70240020751953,9786834
2015-02-04,62.150718688964844,10960314
2015-02-05,64.6505355834961,18653808
2015-02-06,63.0084228515625,9303972
2015-02-09,61.35768127441406,8207352
2015-02-10,60.193965911865234,14683530
2015-02-11,61.452491760253906,4827102
2015-02-12,60.84477615356445,4276554
2015-02-13,62.48689270019531,22005114
2015-02-16,62.56879806518555,11987340
2015-02-18,62.8963623046875,4127406
2015-02-19,63.9781608581543,7744434
2015-02-20,63.943695068359375,4395330
2015-02-23,63.75836181640625,4430634
2015-02-24,65.2798080444336,7384584
2015-02-25,64.81001281738281,9594054
2015-02-26,64.28851318359375,8611818
2015-02-27,64.1548843383789,5141580
2015-03-02,67.19346618652344,18558558
2015-03-03,67.30551147460938,9442494
2015-03-04,66.41766357421875,10777344
2015-03-05,66.92192840576172,7745406
2015-03-09,65.85736083984375,10691736
2015-03-10,65.87460327148438,8797860
2015-03-11,64.72380065917969,3598278
2015-03-12,64.60743713378906,3971940
2015-03-13,63.04721450805664,5221908
2015-03-16,63.499752044677734,2856366
2015-03-17,64.7065658569336,6329616
2015-03-18,66.58574676513672,8524572
2015-03-19,64.94363403320312,4517646
2015-03-20,62.67222213745117,5789646
2015-03-23,61.66799545288086,4267110
2015-03-24,63.85749435424805,12425196
2015-03-25,64.53848266601562,8616528
2015-03-26,65.71080780029297,16437222
2015-03-27,64.6160659790039,10540140
2015-03-30,66.31421661376953,7203846
2015-03-31,69.89155578613281,15727752
2015-04-01,69.32262420654297,6395814
2015-04-06,69.14159393310547,5115972
2015-04-07,68.58991241455078,5338818
2015-04-08,70.65442657470703,13900224
2015-04-09,69.9820556640625,6251700
2015-04-10,70.68889617919922,8098518
2015-04-13,70.54666900634766,5826048
2015-04-15,69.16746520996094,7068102
2015-04-16,69.03815460205078,8001768
2015-04-17,68.77523040771484,6567684
2015-04-20,69.26228332519531,7801080
2015-04-21,68.88731384277344,9105102
2015-04-22,69.3958740234375,11554200
2015-04-23,69.18040466308594,5109906
2015-04-24,67.27965545654297,4140084
2015-04-27,63.12479019165039,7453998
2015-04-28,65.95648193359375,10898772
2015-04-29,65.16343688964844,6079548
2015-04-30,65.92200469970703,12239616
2015-05-04,67.55549621582031,6247296
2015-05-05,67.00381469726562,5669406
2015-05-06,64.49536895751953,9049056
2015-05-07,62.922203063964844,7835052
2015-05-08,64.48245239257812,6661260
2015-05-11,64.71949768066406,4596036
