date,adj_close,volume
2015-01-01,586.8889770507812,596787
2015-01-02,588.5234375,688999
2015-01-05,591.1852416992188,1282895
2015-01-06,573.7672729492188,1615490
2015-01-07,571.5257568359375,813936
2015-01-08,577.3629150390625,1273014
2015-01-09,590.5781860351562,2151608
2015-01-12,589.0838623046875,1094136
2015-01-13,594.3606567382812,1261489
2015-01-14,589.69091796875,1033679
2015-01-15,595.9014892578125,1229115
2015-01-16,604.5872802734375,1245788
2015-01-19,614.3469848632812,1536486
2015-01-20,618.0827026367188,1537603
2015-01-21,600.9450073242188,1541897
2015-01-22,611.5452270507812,1642285
2015-01-23,632.8858642578125,2255956
2015-01-27,660.3436889648438,2067849
2015-01-28,657.0748901367188,1379608
2015-01-29,651.3778076171875,2245977
2015-01-30,649.7900390625,1061983
2015-02-02,649.5565795898438,878717
2015-02-03,632.65234375,772717
2015-02-04,633.2127075195312,1326140
2015-02-05,618.64306640625,913021
2015-02-06,611.7786865234375,1572398
2015-02-09,588.0565795898438,1213162
2015-02-10,597.8629150390625,1834808
2015-02-11,594.4074096679688,1671824
2015-02-12,617.0087280273438,4022095
2015-02-13,623.1727294921875,6373168
2015-02-16,627.188720703125,1056625
2015-02-18,632.8858642578125,975390
2015-02-19,637.36865234375,1803177
2015-02-20,631.2979736328125,1323954
2015-02-23,624.9472045898438,1030305
2015-02-24,632.5587768554688,745543
2015-02-25,631.6716918945312,865007
2015-02-26,615.8880004882812,1754632
2015-02-27,625.60107421875,1632882
2015-03-02,669.5897216796875,2226858
2015-03-03,683.5520629882812,2346080
2015-03-04,679.0225830078125,1975785
2015-03-05,690.6500854492188,1863532
2015-03-09,685.7001953125,886869
2015-03-10,681.2639770507812,2224099
2015-03-11,670.2901611328125,1656569
2015-03-12,672.625,1970544
2015-03-13,657.35498046875,1031988
2015-03-16,647.828857421875,2758251
2015-03-17,663.6124267578125,1832519
2015-03-18,664.9199829101562,1470026
2015-03-19,663.4256591796875,1697308
2015-03-20,653.5725708007812,1874430
2015-03-23,654.973388671875,825791
2015-03-24,663.3321533203125,976875
2015-03-25,664.4529418945312,1175071
2015-03-26,654.6466674804688,2634979
2015-03-27,648.1556396484375,2072818
2015-03-30,655.8140258789062,1612745
2015-03-31,665.3868408203125,2267378
2015-04-01,662.7251586914062,1693796
2015-04-06,687.0543212890625,2457940
2015-04-07,680.0964965820312,1652776
2015-04-08,688.0350341796875,2259141
2015-04-09,671.9244384765625,1409699
2015-04-10,654.83349609375,2038210
2015-04-13,665.3402099609375,1497566
2015-04-15,647.12841796875,1604656
2015-04-16,634.0064086914062,1787533
2015-04-17,635.4541015625,2231820
2015-04-20,616.401611328125,1915626
2015-04-21,609.4903564453125,2144141
2015-04-22,613.3197021484375,1969424
2015-04-23,620.0907592773438,3600202
2015-04-24,595.5281372070312,1623284
2015-04-27,586.9357299804688,1502771
2015-04-28,589.9244384765625,1434089
2015-04-29,587.6830444335938,1272786
2015-04-30,593.987060546875,2844112
2015-05-04,629.1967163085938,3045985
2015-05-05,618.5496826171875,2220174
2015-05-06,594.2205810546875,3640420
2015-05-07,586.3286743164062,1896392
2015-05-08,611.4518432617188,2770332
2015-05-11,622.0986328125,2078211
2015-05-12,620.2308959960938,2714276
2015-05-13,631.9050903320312,1858476
2015-05-14,640.6841430664062,2412197
2015-05-15,638.2091674804688,1187367
2015-05-18,640.2638549804688,864835
2015-05-19,637.6021728515625,848057
2015-05-20,643.0657958984375,884919
2015-05-21,629.8037719726562,1596030
2015-05-22,629.3834838867188,1181691
2015-05-25,616.58837890625,1333330
2015-05-26,615.514404296875,989654
2015-05-27,617.428955078125,1529286
2015-05-28,601.4586791992188,2667994
2015-05-29,607.4826049804688,3757040
2015-06-01,618.3629150390625,2655528
2015-06-02,598.93701171875,1725187
2015-06-03,593.1932373046875,1140795
2015-06-04,588.8037109375,965314
2015-06-05,581.5188598632812,1161230
2015-06-08,574.0940551757812,1535540
2015-06-09,552.846923828125,1880172
2015-06-10,553.5941162109375,1518836
2015-06-11,536.4096069335938,2025695
2015-06-12,543.227294921875,1768081
2015-06-15,547.0098876953125,1358401
2015-06-16,551.3526000976562,1586626
2015-06-17,572.4129638671875,3226832
2015-06-18,566.9494018554688,2134429
2015-06-19,566.5758666992188,2017997
2015-06-22,572.9733276367188,1609442
2015-06-23,588.710205078125,1700335
2015-06-24,580.6782836914062,1350706
2015-06-25,570.4050903320312,1916121
2015-06-26,578.3901977539062,2088582
2015-06-29,570.5918579101562,1359591
2015-06-30,574.747802734375,2352929
2015-07-01,592.9597778320312,1789439
2015-07-02,584.9744873046875,1018273
2015-07-03,589.8310546875,1062854
2015-07-06,610.5178833007812,2193898
2015-07-07,603.7935180664062,1151563
2015-07-08,603.5132446289062,1553260
2015-07-09,598.7969360351562,1165623
2015-07-10,605.1943359375,1329511
2015-07-13,617.5690307617188,1334312
2015-07-14,621.9586791992188,966237
2015-07-15,626.3014526367188,790552
2015-07-16,634.8937377929688,1342722
2015-07-17,639.9370727539062,1180811
2015-07-20,637.9756469726562,756355
2015-07-21,618.7365112304688,1019824
2015-07-22,630.037109375,1412682
2015-07-23,628.7297973632812,759001
2015-07-24,633.3060302734375,1177924
2015-07-27,630.7376098632812,807908
2015-07-28,627.515625,832236
2015-07-29,634.6602172851562,1183157
2015-07-30,664.0794067382812,2842736
2015-07-31,662.2114868164062,2031688
2015-08-03,665.2468872070312,916688
2015-08-04,662.7719116210938,1237267
2015-08-05,671.130615234375,1274983
2015-08-06,675.61376953125,1374485
2015-08-07,667.9085693359375,980254
2015-08-10,668.001953125,914543
2015-08-11,673.5745849609375,1636795
2015-08-12,662.7572021484375,2149755
2015-08-13,679.4747924804688,2079678
2015-08-14,692.6803588867188,3238561
2015-08-17,658.5426635742188,7582133
2015-08-18,640.4202270507812,5972184
2015-08-19,651.93994140625,2593642
2015-08-20,647.7254028320312,2267326
2015-08-21,653.157470703125,2011811
2015-08-24,595.51220703125,4568527
2015-08-25,604.4563598632812,4891926
2015-08-26,597.0107421875,2031606
2015-08-27,619.0198974609375,3929856
2015-08-28,617.9896850585938,2111583
2015-08-31,638.8750610351562,2172057
2015-09-01,621.0802612304688,2567389
2015-09-02,607.1723022460938,2734383
2015-09-03,614.0560913085938,3366027
2015-09-04,608.3429565429688,4428049
2015-09-07,608.3429565429688,1844881
2015-09-08,608.7644653320312,2197872
2015-09-09,614.8052978515625,1561345
2015-09-10,612.229736328125,1254979
2015-09-11,611.7146606445312,1179996
2015-09-14,618.7857666015625,796196
2015-09-15,616.5380249023438,921666
2015-09-16,619.6286010742188,1038816
2015-09-18,610.6375732421875,2152655
2015-09-21,608.0621337890625,1001552
2015-09-22,603.2857055664062,1673424
2015-09-23,601.41259765625,1098608
2015-09-24,602.3021850585938,2130588
2015-09-28,601.1784057617188,2002727
2015-09-29,596.120849609375,1385234
2015-09-30,595.6994018554688,3135198
2015-10-01,593.3580322265625,2945165
2015-10-05,599.4925537109375,2469393
2015-10-06,621.87646484375,2513511
2015-10-07,637.6105346679688,2160153
2015-10-08,637.0955200195312,2304302
2015-10-09,645.8054809570312,1867010
2015-10-12,633.4429321289062,980356
2015-10-13,635.9716796875,1215291
2015-10-14,636.1121215820312,1219164
2015-10-15,628.385498046875,1232379
2015-10-16,636.3462524414062,1925227
2015-10-19,644.7752685546875,2154963
2015-10-20,630.8673706054688,5642920
2015-10-21,634.98828125,2005358
2015-10-23,638.9217529296875,1705211
2015-10-26,638.0320434570312,1217235
2015-10-27,641.2631225585938,1610215
2015-10-28,651.8931274414062,1537365
2015-10-29,647.6785888671875,2975896
2015-10-30,646.6483764648438,1885373
2015-11-02,637.0955200195312,766804
2015-11-03,632.5531005859375,1048233
2015-11-04,628.1512451171875,1321427
2015-11-05,616.3037719726562,1833741
2015-11-06,616.3975219726562,1715887
2015-11-09,606.516845703125,1192556
2015-11-10,601.1784057617188,1166182
2015-11-13,578.7008666992188,2193410
2015-11-16,586.0996704101562,1127051
2015-11-17,595.41845703125,808720
2015-11-18,589.799072265625,1026565
2015-11-19,595.3248291015625,523990
2015-11-20,605.8143310546875,1070873
2015-11-23,600.7568969726562,878175
2015-11-24,596.8701782226562,909556
2015-11-26,594.2946166992188,1319195
2015-11-27,602.8173828125,1110713
2015-11-30,602.8173828125,2146672
2015-12-01,607.406494140625,670534
2015-12-02,616.6316528320312,1610659
2015-12-03,609.8883666992188,1484709
2015-12-04,604.8309326171875,1127553
2015-12-07,604.2691040039062,921343
2015-12-08,601.8339233398438,730708
2015-12-09,584.2266235351562,1044192
2015-12-10,596.40185546875,1030589
2015-12-11,598.6964111328125,1104857
2015-12-14,596.635986328125,721113
2015-12-15,598.36865234375,948636
2015-12-16,598.134521484375,1166504
2015-12-17,602.1149291992188,1333918
2015-12-18,601.3656005859375,995474
2015-12-21,602.8641357421875,738842
2015-12-22,603.3324584960938,508379
2015-12-23,606.3764038085938,342498
2015-12-24,607.0787353515625,395801
2015-12-28,615.8823852539062,793844
2015-12-29,612.370361328125,472504
2015-12-30,611.761474609375,587218
2015-12-31,608.5302734375,765254
2016-01-01,613.7749633789062,556012
2016-01-04,604.6905517578125,631534
2016-01-05,600.1950073242188,642269
2016-01-06,610.7312622070312,1234096
2016-01-07,597.0107421875,732335
2016-01-08,582.8685302734375,1553402
2016-01-11,571.3488159179688,1668698
2016-01-12,572.6600952148438,1278522
2016-01-13,570.0376586914062,794118
2016-01-14,575.3291625976562,986574
2016-01-15,570.4591674804688,1119442
2016-01-18,553.55419921875,1435098
2016-01-19,560.1101684570312,849433
2016-01-20,555.5210571289062,1002709
2016-01-21,543.4393920898438,1452498
2016-01-22,544.9846801757812,1297154
2016-01-25,543.7671508789062,910559
2016-01-27,543.6735229492188,982504
2016-01-28,541.1448364257812,1336930
2016-01-29,547.981689453125,1146060
2016-02-01,561.42138671875,1045333
2016-02-02,537.5858764648438,1779141
2016-02-03,526.3939819335938,1188642
2016-02-04,515.4830322265625,1614064
2016-02-05,533.9801025390625,864080
2016-02-08,530.889404296875,1264314
2016-02-09,520.5873413085938,1357674
2016-02-10,504.4316711425781,2425499
2016-02-11,506.538818359375,5647601
2016-02-12,495.06610107421875,1981976
2016-02-15,505.4619445800781,2467275
2016-02-16,490.80462646484375,2664696
2016-02-17,486.168701171875,1924596
2016-02-18,491.13250732421875,1967772
2016-02-19,491.3665771484375,1054082
2016-02-22,496.8454284667969,1236400
2016-02-23,489.4467468261719,1047760
2016-02-24,481.34539794921875,1836770
2016-02-25,486.0750427246094,2723564
2016-02-26,490.75787353515625,1985528
2016-02-29,481.53271484375,3487816
2016-03-01,483.5931396484375,2146110
2016-03-02,492.2563171386719,3422308
2016-03-03,493.6611328125,3101778
2016-03-04,503.58868408203125,2693406
2016-03-08,498.5781555175781,1409496
2016-03-09,495.7215270996094,4376676
2016-03-10,500.07666015625,3609343
2016-03-11,500.6854248046875,2806975
2016-03-14,503.49505615234375,3909833
2016-03-15,491.7412109375,2961527
2016-03-16,497.3138427734375,2221318
2016-03-17,491.27294921875,2100095
2016-03-18,494.7381896972656,4345885
2016-03-21,501.85595703125,1221223
2016-03-22,501.34088134765625,1529194
2016-03-23,498.99957275390625,1361735
2016-03-28,490.94525146484375,1947564
2016-03-29,471.55828857421875,6503207
2016-03-30,479.8468933105469,4372138
2016-03-31,479.4722595214844,3086978
2016-04-01,481.9073791503906,1239447
2016-04-04,481.6732177734375,768318
2016-04-05,471.090087890625,1086907
2016-04-06,472.9163513183594,1820374
2016-04-07,474.2743835449219,2102922
2016-04-08,472.44805908203125,1262329
2016-04-11,470.29400634765625,2929584
2016-04-12,470.10675048828125,3622355
2016-04-13,479.4254455566406,3642720
2016-04-18,490.8514404296875,3507933
2016-04-20,493.7548828125,2898556
2016-04-21,498.25042724609375,3392813
2016-04-22,497.6415100097656,1880283
2016-04-25,493.0992431640625,1959119
2016-04-26,506.2110900878906,1855477
2016-04-27,505.93017578125,1456338
2016-04-28,494.7381896972656,3088525
2016-04-29,502.93316650390625,932705
2016-05-02,506.35162353515625,1336667
2016-05-03,502.7925720214844,1524809
2016-05-04,499.37420654296875,785756
2016-05-05,507.4285583496094,1025103
2016-05-06,503.26092529296875,511789
2016-05-09,502.51171875,727957
2016-05-10,502.97991943359375,669096
2016-05-11,502.5584716796875,943441
2016-05-12,502.2774353027344,670055
2016-05-13,497.96929931640625,891484
2016-05-16,488.6974182128906,883516
2016-05-17,490.52374267578125,679688
2016-05-18,491.27294921875,653047
2016-05-19,480.1747131347656,1062398
2016-05-20,474.92999267578125,1700932
2016-05-23,465.8453674316406,2021694
2016-05-24,462.70782470703125,2526624
2016-05-25,439.9962158203125,15183389
2016-05-26,438.26361083984375,4432025
2016-05-27,443.4147033691406,2638981
2016-05-30,443.5083312988281,1183625
2016-05-31,442.6654357910156,2368362
2016-06-01,435.4070739746094,1247617
2016-06-02,438.4041442871094,1354914
2016-06-03,435.68804931640625,1318109
2016-06-06,437.0460510253906,1409144
2016-06-07,438.6382141113281,1797918
2016-06-08,442.1971740722656,811331
2016-06-09,448.7062683105469,1695845
2016-06-10,446.224365234375,1704257
2016-06-13,438.966064453125,1271568
2016-06-14,452.0779113769531,2522251
2016-06-15,458.9615783691406,1860880
2016-06-16,455.7772521972656,1239939
2016-06-17,455.59002685546875,593507
2016-06-20,457.2757873535156,1026672
2016-06-21,452.7334899902344,861422
2016-06-22,451.8437194824219,673949
2016-06-23,445.56878662109375,1918112
2016-06-24,446.3179931640625,1875935
2016-06-27,458.0250549316406,2362093
2016-06-28,465.7984924316406,1775304
2016-06-29,470.574951171875,1048438
2016-06-30,469.2169494628906,2152521
2016-07-01,476.3348083496094,1008068
2016-07-04,477.83331298828125,1055119
2016-07-05,474.8363342285156,689915
2016-07-07,481.6732177734375,2078580
2016-07-08,487.2926025390625,1828792
2016-07-11,488.8846740722656,1441960
2016-07-12,482.9844665527344,891315
2016-07-13,481.95416259765625,1202156
2016-07-14,479.4722595214844,1257722
2016-07-15,483.6400146484375,1004156
2016-07-18,474.78948974609375,1459230
2016-07-19,473.7124328613281,1027246
2016-07-20,484.9979553222656,3584904
2016-07-21,483.1249084472656,2274652
2016-07-22,487.38629150390625,1188747
2016-07-25,491.3197021484375,1337348
2016-07-26,490.3363037109375,2105457
2016-07-27,489.9618835449219,894972
2016-07-28,487.6203918457031,1347889
2016-07-29,493.9421691894531,1785352
2016-08-01,490.80462646484375,955999
2016-08-02,485.0448913574219,1009436
2016-08-03,495.86212158203125,1846161
2016-08-04,493.52069091796875,1564658
2016-08-05,499.4210205078125,699384
2016-08-08,501.43463134765625,852842
2016-08-09,499.14007568359375,886532
2016-08-10,488.1822204589844,809814
2016-08-11,490.7110290527344,761596
2016-08-12,483.218505859375,2124886
2016-08-16,518.9951782226562,8817547
2016-08-17,514.9679565429688,3819727
2016-08-18,517.5903930664062,1434412
2016-08-19,521.47705078125,1598177
2016-08-22,522.2262573242188,1218782
2016-08-23,520.3999633789062,874783
2016-08-24,531.21728515625,2340210
