date,adj_close,volume
2015-01-01,362.7237548828125,269753
2015-01-02,365.5888366699219,623981
2015-01-05,368.5494384765625,551576
2015-01-06,355.9430236816406,519159
2015-01-07,357.757568359375,397373
2015-01-08,356.1340026855469,672501
2015-01-09,356.1340026855469,985975
2015-01-12,359.8586730957031,344364
2015-01-13,355.46551513671875,715002
2015-01-14,354.8924560546875,404068
2015-01-15,358.99908447265625,648144
2015-01-16,369.7911071777344,1387070
2015-01-19,376.7628479003906,913385
2015-01-20,375.9032897949219,603286
2015-01-21,388.6531066894531,1885665
2015-01-22,381.77679443359375,785747
2015-01-23,380.9172668457031,709214
2015-01-27,382.6362609863281,1306898
2015-01-28,413.7705993652344,6282139
2015-01-29,421.9361877441406,3488597
2015-01-30,411.23974609375,970722
2015-02-02,413.7228698730469,1106879
2015-02-03,412.86328125,2245302
2015-02-04,410.7144470214844,1392064
2015-02-05,399.0152282714844,1040089
2015-02-06,397.9646911621094,1116247
2015-02-09,393.7148132324219,813004
2015-02-10,406.08251953125,1092699
2015-02-11,407.0853271484375,1113419
2015-02-12,406.60784912109375,1131467
2015-02-13,407.51513671875,935029
2015-02-16,398.7287292480469,842771
2015-02-18,410.4279479980469,1093702
2015-02-19,413.2930908203125,1517003
2015-02-20,415.7761535644531,1033950
2015-02-23,400.8775634765625,1004925
2015-02-24,403.4561767578125,748836
2015-02-25,403.26513671875,788068
2015-02-26,404.5544738769531,726024
2015-02-27,415.7761535644531,826541
2015-03-02,393.95355224609375,1124323
2015-03-03,397.2005920410156,719506
2015-03-04,392.9029846191406,655400
2015-03-05,387.50701904296875,959120
2015-03-09,381.7290344238281,648441
2015-03-10,387.1726989746094,657218
2015-03-11,381.872314453125,410728
2015-03-12,386.4087219238281,349974
2015-03-13,380.82171630859375,428548
2015-03-16,379.7234191894531,399268
2015-03-17,386.2654724121094,562431
2015-03-18,383.7346496582031,309016
2015-03-19,386.5997619628906,1023111
2015-03-20,375.04376220703125,461698
2015-03-23,373.2769775390625,498876
2015-03-24,369.8387451171875,408226
2015-03-25,372.89495849609375,636108
2015-03-26,372.2264099121094,1419196
2015-03-27,375.1869812011719,670005
2015-03-30,373.75439453125,420532
2015-03-31,373.9931945800781,438421
2015-04-01,372.84716796875,452828
2015-04-06,385.4537048339844,904638
2015-04-07,388.3187561035156,636179
2015-04-08,389.1305847167969,534912
2015-04-09,381.9677734375,756901
2015-04-10,382.54083251953125,969396
2015-04-13,396.19793701171875,1399618
2015-04-15,392.8551940917969,947070
2015-04-16,387.98455810546875,884632
2015-04-17,377.2880859375,603542
2015-04-20,377.192626953125,934634
2015-04-21,374.614013671875,657263
2015-04-22,378.2909240722656,517359
2015-04-23,385.3103942871094,743194
2015-04-24,378.099853515625,738949
2015-04-27,369.1224670410156,947654
2015-04-28,368.78826904296875,612828
2015-04-29,364.681640625,866439
2015-04-30,365.5888366699219,2267714
2015-05-04,367.92877197265625,462963
2015-05-05,367.1169738769531,593407
2015-05-06,366.161865234375,1719756
2015-05-07,352.9345703125,1729099
2015-05-08,337.7017822265625,5691342
2015-05-11,351.1200256347656,1343524
2015-05-12,346.4403381347656,901977
2015-05-13,350.8812561035156,837838
2015-05-14,346.5835876464844,527009
2015-05-15,351.40655517578125,557137
2015-05-18,361.7209777832031,796620
2015-05-19,362.4849853515625,711652
2015-05-20,359.2378234863281,476821
2015-05-21,359.0946350097656,351909
2015-05-22,353.7942199707031,438670
2015-05-25,354.3194274902344,406302
2015-05-26,353.9374084472656,251010
2015-05-27,355.46551513671875,215459
2015-05-28,363.1535949707031,1467589
2015-05-29,361.29119873046875,312544
2015-06-01,359.381103515625,232939
2015-06-02,352.361572265625,322834
2015-06-03,351.1200256347656,407702
2015-06-04,345.24658203125,331402
2015-06-05,347.3954162597656,513150
2015-06-08,337.0809631347656,275247
2015-06-09,343.38427734375,400693
2015-06-10,348.30267333984375,423122
2015-06-11,337.79730224609375,402824
2015-06-12,332.3057556152344,306206
2015-06-15,328.772216796875,502073
2015-06-16,331.5417175292969,794358
2015-06-17,338.03594970703125,554088
2015-06-18,342.66790771484375,375925
2015-06-19,342.094970703125,499477
2015-06-22,349.78302001953125,503127
2015-06-23,341.1876220703125,581280
2015-06-24,340.5668640136719,1036071
2015-06-25,336.9855041503906,2374867
2015-06-26,343.957275390625,972326
2015-06-29,342.7156982421875,521388
2015-06-30,349.8307189941406,928099
2015-07-01,345.6285705566406,581426
2015-07-02,339.2776184082031,1301446
2015-07-03,341.2353515625,640953
2015-07-06,339.8505859375,606970
2015-07-07,344.8167419433594,622813
2015-07-08,338.9910583496094,743184
2015-07-09,343.5274963378906,492767
2015-07-10,339.8028259277344,675678
2015-07-13,341.2353515625,349986
2015-07-14,343.6707763671875,483292
2015-07-15,334.9798583984375,597184
2015-07-16,334.8843994140625,330307
2015-07-17,335.461181640625,557575
2015-07-20,331.80810546875,808216
2015-07-21,326.61688232421875,475068
2015-07-22,324.93450927734375,810073
2015-07-23,324.0211486816406,672679
2015-07-24,326.9532775878906,709976
2015-07-27,322.9156494140625,487372
2015-07-28,327.9146423339844,1107079
2015-07-29,325.46319580078125,801921
2015-07-30,325.7035217285156,1117699
2015-07-31,311.13916015625,3631818
2015-08-03,304.9866027832031,2457661
2015-08-04,303.73681640625,1300131
2015-08-05,308.1109313964844,1990552
2015-08-06,315.0806579589844,1355010
2015-08-07,321.089111328125,1020332
2015-08-10,316.61883544921875,527219
2015-08-11,315.70556640625,1135585
2015-08-12,317.3398742675781,628727
2015-08-13,315.4652404785156,1800158
2015-08-14,322.09844970703125,349444
2015-08-17,323.5885925292969,590909
2015-08-18,323.1559753417969,219001
2015-08-19,327.28973388671875,336368
2015-08-20,328.0107421875,758875
2015-08-21,330.99090576171875,603152
2015-08-24,319.7431945800781,802619
2015-08-25,314.35968017578125,635497
2015-08-26,312.1966857910156,795875
2015-08-27,333.6346740722656,3735076
2015-08-28,328.3952941894531,742569
2015-08-31,324.7421569824219,561975
2015-09-01,322.0024108886719,423225
2015-09-02,310.6104431152344,909066
2015-09-03,314.55194091796875,351699
2015-09-04,320.0796813964844,854711
2015-09-07,319.55096435546875,366587
2015-09-08,309.5529479980469,842521
2015-09-09,317.7724304199219,903800
2015-09-10,313.3502502441406,756925
2015-09-11,313.8309631347656,481787
2015-09-14,316.2823486328125,324466
2015-09-15,313.3983459472656,231855
2015-09-16,315.0806579589844,179163
2015-09-18,309.4568176269531,1000353
2015-09-21,306.3805236816406,430092
2015-09-22,306.52471923828125,457865
2015-09-23,307.5341796875,635557
2015-09-24,312.292724609375,1692883
2015-09-28,313.4944152832031,484788
2015-09-29,308.78387451171875,589238
2015-09-30,305.5633850097656,697606
2015-10-01,314.6000061035156,1842510
2015-10-05,318.0608215332031,473457
2015-10-06,335.028564453125,1592362
2015-10-07,331.80810546875,398156
2015-10-08,327.86651611328125,353672
2015-10-09,329.9334716796875,521299
2015-10-12,329.40472412109375,731079
2015-10-13,330.1737976074219,222643
2015-10-14,334.98052978515625,775139
2015-10-15,339.30657958984375,830753
2015-10-16,340.26788330078125,592163
2015-10-19,337.3839111328125,535865
2015-10-20,338.48944091796875,440519
2015-10-21,334.35565185546875,397954
2015-10-23,330.41412353515625,336286
2015-10-26,331.47161865234375,475118
2015-10-27,327.2416687011719,265056
2015-10-28,337.23968505859375,670732
2015-10-29,338.68170166015625,880195
2015-10-30,336.42254638671875,1191629
2015-11-02,342.81549072265625,4413018
2015-11-03,334.93243408203125,1697686
2015-11-04,334.5478820800781,774920
2015-11-05,335.2688903808594,476785
2015-11-06,336.5186462402344,495582
2015-11-09,340.70050048828125,714356
2015-11-10,339.162353515625,347269
2015-11-13,340.94085693359375,567501
2015-11-16,345.795654296875,655262
2015-11-17,344.5458984375,506095
2015-11-18,346.8531188964844,409990
2015-11-19,355.6014099121094,802938
2015-11-20,357.331787109375,724817
2015-11-23,365.5993347167969,869178
2015-11-24,363.436279296875,813490
2015-11-26,373.5303955078125,2068604
2015-11-27,365.2148132324219,638174
2015-11-30,366.7529602050781,315528
2015-12-01,363.2921447753906,400194
2015-12-02,362.13848876953125,377398
2015-12-03,357.6201477050781,411070
2015-12-04,352.5731201171875,263031
2015-12-07,353.630615234375,463510
2015-12-08,351.65985107421875,414619
2015-12-09,345.8917541503906,419161
2015-12-10,348.72772216796875,236817
