date,static_capm_mvo
2018-01-03,-0.0010129611428571427
2018-01-04,0.009807153206992145
2018-01-05,0.009005948121251767
2018-01-08,0.009135109315010784
2018-01-09,0.004356612408751652
2018-01-10,0.0012762462089969567
2018-01-11,0.005845452766736718
2018-01-12,0.005367136108770257
2018-01-15,0.004810037438411253
2018-01-16,0.002459028270318711
2018-01-17,-0.002178043268211018
2018-01-18,-0.000486254828314579
2018-01-19,0.004600446589044115
2018-01-22,0.0007898859144833555
2018-01-23,-0.0017648274829015435
2018-01-24,-0.004964227344983599
2018-01-25,-0.005826332695693968
2018-01-29,0.00622328237238429
2018-01-30,-0.013273065170444222
2018-01-31,-0.004519360646234265
2018-02-01,0.0024380125148784253
2018-02-02,-0.02144318489822637
2018-02-05,-0.006913198786040983
2018-02-06,-0.014491865275535502
2018-02-07,-0.004626827696578588
2018-02-08,0.010600219416687795
2018-02-09,-0.006745477221492626
2018-02-12,0.01271508979820626
2018-02-14,-0.0003827914923506369
2018-02-15,0.0008826396419141755
2018-02-16,-0.006295369569349691
2018-02-19,-0.006325206569709576
2018-02-20,-0.0009206924387669075
2018-02-21,0.008355073201545205
2018-02-22,-0.0019722470115497923
2018-02-23,0.01641478175487955
2018-02-26,0.0075517219471558745
2018-02-27,0.0015932206221134064
2018-02-28,-0.006102605485665746
2018-03-01,-0.00038152799999999996
2018-03-05,-0.005304628765208081
2018-03-06,-0.013166823078797947
2018-03-07,-0.008058220398748886
2018-03-08,0.0007575465745985968
2018-03-09,-0.004336882325091258
2018-03-12,0.014330505545082532
2018-03-13,0.0007578217633458662
2018-03-14,0.0008531275831810458
2018-03-15,0.0006591584303887196
2018-03-16,-0.01001559563279047
2018-03-19,-0.013251351039120417
2018-03-20,0.002497174607242689
2018-03-21,0.003652348236427162
2018-03-22,-0.0009521011890519454
2018-03-23,-0.005603912996663518
2018-03-26,0.012728360255986518
2018-03-27,0.0095664517747428
2018-03-28,-0.0014052683076771436
2018-04-02,0.02816879636765459
2018-04-03,-0.000406144
2018-04-04,-0.007402249138369732
2018-04-05,0.013258233784064058
2018-04-06,0.003220172798009951
2018-04-09,0.004407201948054095
2018-04-10,0.0035117153904208396
2018-04-11,0.004011185894808677
2018-04-12,0.006058868283840865
2018-04-13,0.0038423598937468145
2018-04-16,0.004419135879482339
2018-04-17,0.004300087382240043
2018-04-18,-0.0038919274148115674
2018-04-19,0.004723746903870103
2018-04-20,0.004828857199684399
2018-04-23,-0.0010839109426492126
2018-04-24,0.00015040473210748112
2018-04-25,0.0025700490467750036
2018-04-26,0.014615808755662485
2018-04-27,-0.006904655492051931
2018-04-30,0.008249482176376721
2018-05-02,-0.00033915199999999995
2018-05-03,-0.012243212698790149
2018-05-04,0.0024047092376047025
2018-05-07,0.006635318711407979
2018-05-08,0.00018706200947363248
2018-05-09,0.0034033967309406287
2018-05-10,-0.003082874379531247
2018-05-11,0.010909281444126315
2018-05-14,-0.002846719688510147
2018-05-15,-0.009206960359765318
2018-05-16,0.0038235775673994424
2018-05-17,-0.00219915597002676
2018-05-18,0.0023124860843017985
2018-05-21,-0.00877915560247889
2018-05-22,-0.0014048355982633025
2018-05-23,-0.004500296621107167
2018-05-24,0.008900009625320292
2018-05-25,0.009352659160746846
2018-05-28,-0.004252275486458573
2018-05-29,-0.0029706104970580434
2018-05-30,0.0037761835534938335
2018-05-31,0.007156256400827249
2018-06-01,-0.004487674598304803
2018-06-04,-0.008876790893154057
2018-06-05,-0.007640324925914122
2018-06-06,0.010131523969019233
2018-06-07,0.008494544540632126
2018-06-08,0.0013013588063813804
2018-06-11,0.004327076564216354
2018-06-12,0.014409997542014998
2018-06-13,-0.0006876297549424695
2018-06-14,-0.0041107639576950005
2018-06-15,0.004375142296314675
2018-06-18,-0.0009051514613461852
2018-06-19,-0.011055819933063418
2018-06-20,0.0025437978515337263
2018-06-21,-0.004205484759169182
2018-06-22,0.0012619403820360317
2018-06-25,-0.00029750804286586584
2018-06-26,0.005085173976226677
2018-06-27,-0.0013478068163348838
2018-06-28,-0.012479057568452686
2018-06-29,0.009485218316449058
2018-07-02,0.0020504722306214926
2018-07-03,0.008056519700391472
2018-07-04,-0.000465376
2018-07-05,-0.007786640869138897
2018-07-06,0.0023876916189568297
2018-07-09,0.006842039205853521
2018-07-10,0.004033856471566947
2018-07-11,0.008864354651418509
2018-07-12,0.004700525615136881
2018-07-13,0.004829892252050874
2018-07-16,-0.0025401830997964967
2018-07-17,-0.001528267733759631
2018-07-18,-0.0023589712039102434
2018-07-19,-0.0009371917219531354
2018-07-20,0.01915481330064652
2018-07-23,0.0024435444293210485
2018-07-24,-0.0029251925241848597
2018-07-25,-0.001261937546633821
2018-07-26,-0.0013727971613459993
2018-07-27,0.008664680840677908
2018-07-30,-9.43773058245975e-05
2018-07-31,0.018567901391490206
2018-08-01,-0.00023532
2018-08-02,-0.006799384739086454
2018-08-03,-0.003990958065313853
2018-08-06,-0.0005587739433563593
2018-08-07,-0.006695503079041177
2018-08-08,0.004315689886689471
2018-08-09,-0.0012990860664602115
2018-08-10,-0.0003213269816383676
2018-08-13,0.003728506001814952
2018-08-14,0.009999019759046088
2018-08-16,-0.0013270958330546918
2018-08-17,0.010670845491937225
2018-08-20,0.006333629314147143
2018-08-21,0.0062465789568101875
2018-08-23,0.01644162992068374
2018-08-24,-0.006649800138705322
2018-08-27,0.007061411686658189
2018-08-28,0.002216226509507617
2018-08-29,-0.0030418880791227136
2018-08-30,-0.001584853860605143
2018-08-31,0.005201801689052516
2018-09-03,-0.017875998417131358
2018-09-04,-0.007885015105818134
2018-09-05,-0.011473448696178607
2018-09-06,0.004044474216107991
2018-09-07,0.005979159951178731
2018-09-10,-0.014221344432042269
2018-09-11,-0.01841447482277136
2018-09-12,0.004400399744258947
2018-09-14,0.008949034192779494
2018-09-17,-0.009991041822214667
2018-09-18,-0.0003022480775037367
2018-09-19,-0.00605474779270126
2018-09-21,-0.020103789461130707
2018-09-24,-0.010911193620102011
2018-09-25,0.016295070651878428
2018-09-26,5.285722628579307e-05
2018-09-27,-0.0012013912900779387
2018-09-28,-0.00519231048943201
2018-10-01,0.006347415513219334
2018-10-03,-0.0006871760000000001
2018-10-04,-0.03052086198146432
2018-10-05,-0.013666670618610216
