date,equal_weight
2018-01-03,0.0014617628121180689
2018-01-04,0.009897956313929675
2018-01-05,0.0084869115783068
2018-01-08,0.006315905927533194
2018-01-09,2.5985271632257556e-05
2018-01-10,-0.0008584155699697838
2018-01-11,0.001462553167862702
2018-01-12,3.05165131273882e-05
2018-01-15,-0.00046323168939249517
2018-01-16,-0.004512023562540545
2018-01-17,0.006955170675126335
2018-01-18,-0.0067886835530342575
2018-01-19,0.006706941293096586
2018-01-22,0.004119755598205297
2018-01-23,0.009765753752167289
2018-01-24,-0.002550391236965107
2018-01-25,-0.004434091790555932
2018-01-29,0.0025158354773832836
2018-01-30,-0.007426370058052003
2018-01-31,-0.005710933913048356
2018-02-01,0.004685287745586647
2018-02-02,-0.023400483907860186
2018-02-05,-0.006671780675454575
2018-02-06,-0.014883045709301738
2018-02-07,0.0026100949718497685
2018-02-08,0.012805613872809683
2018-02-09,-0.0059905106684069905
2018-02-12,0.009445099552524166
2018-02-14,-0.00232608148625646
2018-02-15,0.0022495276992118935
2018-02-16,-0.009467445963884933
2018-02-19,-0.011701215934135508
2018-02-20,0.00022539176146838018
2018-02-21,0.00036006782371919273
2018-02-22,-0.0012608607717430672
2018-02-23,0.013745816268180996
2018-02-26,0.00830208814863126
2018-02-27,-0.0015238063527426627
2018-02-28,-0.00387222496051385
2018-03-01,-0.0029432995105111463
2018-03-05,-0.008139914980827433
2018-03-06,-0.00942706234890452
2018-03-07,-0.0107271933503834
2018-03-08,0.0040756450053098855
2018-03-09,-0.004348395901576634
2018-03-12,0.016234555916591942
2018-03-13,0.0035445666338541505
2018-03-14,-0.00019800181907468254
2018-03-15,-0.0017328311642385266
2018-03-16,-0.014612323973670113
2018-03-19,-0.013876753415772427
2018-03-20,0.005219429273885008
2018-03-21,0.0013100416471540839
2018-03-22,-0.006178647614517207
2018-03-23,-0.008937283881830262
2018-03-26,0.012776630478377113
2018-03-27,0.009470737016084993
2018-03-28,-0.005417238590023726
2018-04-02,0.013964646756543613
2018-04-03,0.0024785269981038626
2018-04-04,-0.013942761539286756
2018-04-05,0.021088527059366664
2018-04-06,0.00075790771918567
2018-04-09,0.0046087702060009965
2018-04-10,0.005619379084109208
2018-04-11,-0.00010957198991158444
2018-04-12,-0.00031808390109439944
2018-04-13,0.0027358602184278215
2018-04-16,0.0072609866162009285
2018-04-17,0.002045003115536155
2018-04-18,-0.001989007925182147
2018-04-19,0.006436506346351812
2018-04-20,-4.4774151358549096e-05
2018-04-23,0.0021869806325363916
2018-04-24,-0.0009908357358828208
2018-04-25,-0.0024080134922338644
2018-04-26,0.0036477749932982855
2018-04-27,0.005083564063687468
2018-04-30,0.003868781212322659
2018-05-02,-0.010605506838151068
2018-05-03,-0.006068063999305072
2018-05-04,-0.005230157420882415
2018-05-07,0.009305174746166264
2018-05-08,0.0018813405057625863
2018-05-09,-0.0011373577822930791
2018-05-10,-0.0035853248117225507
2018-05-11,0.006688075683978478
2018-05-14,-0.0026051905618189285
2018-05-15,-0.0018518943631653374
2018-05-16,-0.004878505995284015
2018-05-17,-0.0020103474977963593
2018-05-18,-0.00811349178608192
2018-05-21,-0.010838771230940993
2018-05-22,0.00591662415177117
2018-05-23,-0.010165688910340233
2018-05-24,0.007448924831717058
2018-05-25,0.013242040015202235
2018-05-28,0.00694734571824582
2018-05-29,-0.004321097122999228
2018-05-30,-0.0011774878561123631
2018-05-31,0.005696474835827619
2018-06-01,-0.005554273554500343
2018-06-04,-0.007068458363524409
2018-06-05,-0.004760180428571568
2018-06-06,0.012000096346093043
2018-06-07,0.009566181621412408
2018-06-08,0.0025475042761815164
2018-06-11,0.0028762232265414356
2018-06-12,0.004292477269869211
2018-06-13,0.001951194890078335
2018-06-14,-0.0020863026841505786
