date,kalman_mvo
2018-01-03,-0.0010129611428571427
2018-01-04,0.009807153206992145
2018-01-05,0.009005948121251767
2018-01-08,0.009135109315010784
2018-01-09,0.004356612408751652
2018-01-10,0.0012762462089969567
2018-01-11,0.005845452766736718
2018-01-12,0.005367136108770257
2018-01-15,0.004810037438411253
2018-01-16,0.002459028270318711
2018-01-17,-0.002178043268211018
2018-01-18,-0.000486254828314579
2018-01-19,0.004600446589044115
2018-01-22,0.0007898859144833555
2018-01-23,-0.0017648274829015435
2018-01-24,-0.004964227344983599
2018-01-25,-0.005826332695693968
2018-01-29,0.00622328237238429
2018-01-30,-0.013273065170444222
2018-01-31,-0.004519360646234265
2018-02-01,0.0024380125148784253
2018-02-02,-0.02144318489822637
2018-02-05,-0.006913198786040983
2018-02-06,-0.014491865275535502
2018-02-07,-0.004626827696578588
2018-02-08,0.010600219416687795
2018-02-09,-0.006745477221492626
2018-02-12,0.01271508979820626
2018-02-14,-0.0003827914923506369
2018-02-15,0.0008826396419141755
2018-02-16,-0.006295369569349691
2018-02-19,-0.006325206569709576
2018-02-20,-0.0009206924387669075
2018-02-21,0.008355073201545205
2018-02-22,-0.0019722470115497923
2018-02-23,0.01641478175487955
2018-02-26,0.0075517219471558745
2018-02-27,0.0015932206221134064
2018-02-28,-0.006102605485665746
2018-03-01,-0.00038346399999999997
2018-03-05,-0.005334117437262245
2018-03-06,-0.013130124162661218
2018-03-07,-0.007994114256922605
2018-03-08,0.0007159034605673315
2018-03-09,-0.004380461994808682
2018-03-12,0.014289576767977472
2018-03-13,0.0008554965837602995
2018-03-14,0.0007897894830228122
2018-03-15,0.0006888572282019176
2018-03-16,-0.009931415225300708
2018-03-19,-0.013248773932436182
2018-03-20,0.002528921164499088
2018-03-21,0.0036015527297973663
2018-03-22,-0.0009074730769191427
2018-03-23,-0.005560248603454333
2018-03-26,0.012728029936592299
2018-03-27,0.009655507348529649
2018-03-28,-0.0013507686677636994
2018-04-02,0.028196094594262613
2018-04-03,-0.0003992639999999999
2018-04-04,-0.007294868034365082
2018-04-05,0.013064056031677807
2018-04-06,0.003317421487602272
2018-04-09,0.004512538660958533
2018-04-10,0.003578104643772414
2018-04-11,0.003931419044714574
2018-04-12,0.005983871928620411
2018-04-13,0.003926408083251622
2018-04-16,0.004602355595882946
2018-04-17,0.005005588298609733
2018-04-18,-0.003621082863225959
2018-04-19,0.004875973772287847
2018-04-20,0.0043467451119750585
2018-04-23,-0.0017170252240533354
2018-04-24,0.00018240266578696085
2018-04-25,0.00290051244657094
2018-04-26,0.015073134745244812
2018-04-27,-0.00650789049712156
2018-04-30,0.008969783088280718
2018-05-02,-0.00036718399999999995
2018-05-03,-0.01195386028891182
2018-05-04,0.0027678783518008346
2018-05-07,0.00798807232049604
2018-05-08,0.00010018591180605322
2018-05-09,0.0032392598909599143
2018-05-10,-0.00411912000068101
2018-05-11,0.012070424815944012
2018-05-14,-0.004561270326485985
2018-05-15,-0.010001255043158672
2018-05-16,0.005099384105068973
2018-05-17,-0.0017000839576088076
2018-05-18,0.003209249847700481
2018-05-21,-0.010126432420198376
2018-05-22,-0.0006948195462945448
2018-05-23,-0.003812028392896055
2018-05-24,0.008195751384706624
2018-05-25,0.010067548344494082
2018-05-28,-0.002985889948721887
2018-05-29,-0.003978469319113243
2018-05-30,0.004473568695985416
2018-05-31,0.007329244382751721
2018-06-01,-0.005114274593888869
2018-06-04,-0.010053052641641583
2018-06-05,-0.007222363504502319
2018-06-06,0.010841836018002851
2018-06-07,0.0086443605145683
2018-06-08,0.0010041491711065308
2018-06-11,0.004167526032067833
2018-06-12,0.014603814169510365
2018-06-13,-0.0009708436149054812
2018-06-14,-0.003912065315136881
2018-06-15,0.0034079919103625787
2018-06-18,-0.0012649784665491577
2018-06-19,-0.010874505674242491
2018-06-20,0.0025069898975362053
2018-06-21,-0.003815184377163305
2018-06-22,0.0017966692162645222
2018-06-25,-0.00022170782765390572
2018-06-26,0.005207517307317876
2018-06-27,-0.0023079880863469833
2018-06-28,-0.011626785570386858
2018-06-29,0.010735715983723623
2018-07-02,0.0014622257966873048
2018-07-03,0.00812172077513532
2018-07-04,-0.00044209599999999995
2018-07-05,-0.007674605863696843
2018-07-06,0.0016579126020267736
2018-07-09,0.006815458058220121
2018-07-10,0.003949764015694
2018-07-11,0.00867480453395575
2018-07-12,0.004353316223131525
2018-07-13,0.004852379704417533
2018-07-16,-0.0025499489999633983
2018-07-17,-0.0021728628960252924
2018-07-18,-0.003337759467557063
2018-07-19,-0.0011231840213018244
2018-07-20,0.018337757362848803
2018-07-23,0.0032530329858422432
2018-07-24,-0.003101590137072869
2018-07-25,-0.001800140823162208
2018-07-26,-0.0008218235868473546
2018-07-27,0.008193643561183057
2018-07-30,-0.0002817051635129
2018-07-31,0.0194737249654981
2018-08-01,-0.00028330399999999996
2018-08-02,-0.006700003131717921
2018-08-03,-0.004075097809532254
2018-08-06,-0.0003750810720268039
2018-08-07,-0.006569337732707132
2018-08-08,0.004489920923201512
2018-08-09,-0.0013729133806929565
2018-08-10,-0.0005702173914108645
2018-08-13,0.0036525094510130056
2018-08-14,0.010090617318856195
2018-08-16,-0.00171541937878053
2018-08-17,0.010619282592233216
2018-08-20,0.006834741445093266
2018-08-21,0.0063628491825500864
2018-08-23,0.016425995801519076
2018-08-24,-0.006389750432212004
2018-08-27,0.006958749666140602
2018-08-28,0.002590068658439785
2018-08-29,-0.0024860090590684415
2018-08-30,-0.001828466013695348
2018-08-31,0.0049621995537097174
2018-09-03,-0.017376147310542434
2018-09-04,-0.008153510597599358
2018-09-05,-0.01126062907060532
2018-09-06,0.004327050773882303
2018-09-07,0.006001544177406678
2018-09-10,-0.014321184476688315
2018-09-11,-0.018625729474367695
2018-09-12,0.0045183770777304216
2018-09-14,0.00909868493207022
2018-09-17,-0.010045168316432845
2018-09-18,-0.0006139034933509313
2018-09-19,-0.005892811516057337
2018-09-21,-0.02021036685875739
2018-09-24,-0.011141093029676946
2018-09-25,0.016193722541979587
2018-09-26,0.0006177336280121668
2018-09-27,-0.0015244217191888597
2018-09-28,-0.0055268471549760655
2018-10-01,0.005708330008256968
2018-10-03,-0.000689552
2018-10-04,-0.032482486853005164
2018-10-05,-0.013042299704220571
2018-10-08,0.005005983319093114
